epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3224,0,111.813,0,0,0,0,0,0,57.9375,0,0.000407407,0.000407407,0.000407407
2,62.8028,0,89.8533,0,0,0,0,0,0,367.893,0,0.00079688,0.00079688,0.00079688
3,93.8584,0,76.8055,0,0,0,0,0,0,48.2366,0,0.00115885,0.00115885,0.00115885
4,124.581,0,64.2296,0,0,0,0,0,0,87.1342,0,0.00112625,0.00112625,0.00112625
5,154.31,0,52.6012,0,0,0,0,0,0,0,0,0.001085,0.001085,0.001085
6,184.98,0,41.9403,0,0,0,0,0,0,0.00279,0,0.00104375,0.00104375,0.00104375
7,215.274,0,32.6201,0,0,0,0,0,0,0,0,0.0010025,0.0010025,0.0010025
8,245.314,0,25.1623,0,0,0,0,0,0,0,0,0.00096125,0.00096125,0.00096125
9,275.258,0,19.2086,0,0,0,0,0,0,1.45794,0,0.00092,0.00092,0.00092
10,304.845,0,14.6343,0,0,0,0,0,0,0.13295,0,0.00087875,0.00087875,0.00087875
11,334.767,0,11.1747,0,0,0,0,0,0,0.05364,0,0.0008375,0.0008375,0.0008375
12,365.531,0,8.53694,0,0,0,0,0,0,6.45508,0,0.00079625,0.00079625,0.00079625
13,396.125,0,6.54628,0,0,0,0,0,0,0.1635,0,0.000755,0.000755,0.000755
14,427.638,0,5.09442,0,0,0,0,0,0,0,0,0.00071375,0.00071375,0.00071375
15,459.864,0,3.98634,0,0,0,0,0,0,641.857,0,0.0006725,0.0006725,0.0006725
16,490.215,0,3.16011,0,0,0,0,0,0,0,0,0.00063125,0.00063125,0.00063125
17,520.213,0,2.51876,0,0,0,0,0,0,0,0,0.00059,0.00059,0.00059
18,551.902,0,2.02455,0,0,0,0,0,0,0.03948,0,0.00054875,0.00054875,0.00054875
19,581.947,0,1.61537,0,0,0,0,0,0,0.00167,0,0.0005075,0.0005075,0.0005075
20,611.908,0,1.33336,0,0,0,0,0,0,0,0,0.00046625,0.00046625,0.00046625
21,641.209,0,1.12158,0,0,0,0,0,0,0.00112,0,0.000425,0.000425,0.000425
22,669.479,0,0.90879,0,0,0,0,0,0,0.00112,0,0.00038375,0.00038375,0.00038375
23,698.094,0,0.76679,0,0,0,0,0,0,0,0,0.0003425,0.0003425,0.0003425
24,726.974,0,0.69025,0,0,0,0,0,0,0,0,0.00030125,0.00030125,0.00030125
25,755.419,0,0.63031,0,0,0,0,0,0,0,0,0.00026,0.00026,0.00026
26,783.957,0,0.58766,0,0,0,0,0,0,0.12207,0,0.00021875,0.00021875,0.00021875
27,812.631,0,0.55721,0,0,0,0,0,0,0.19203,0,0.0001775,0.0001775,0.0001775
28,841.445,0,0.53191,0,0,0,0,0,0,0,0,0.00013625,0.00013625,0.00013625
29,870.006,0,0.51385,0,0,0,0,0,0,0,0,9.5e-05,9.5e-05,9.5e-05
30,898.725,0,0.50219,0,0,0,0,0,0,0,0,5.375e-05,5.375e-05,5.375e-05
