image,blur_score,blur_category,rl_psnr,rl_ssim,rl_runtime_sec,gan_psnr,gan_ssim,gan_runtime_sec
000001.png,13.61296872625939,high_blur,22.712904322697824,0.7320591655627481,4.336871147155762,6.041413018527605,0.3643688266089735,0.3976883888244629
000002.png,44.50729778374096,high_blur,20.540886759320983,0.7073610595799086,4.065518856048584,6.058239564814364,0.3563386047165534,0.06967663764953613
000003.png,37.012645758846666,high_blur,21.913018463124907,0.7407695744898016,4.084619522094727,6.092260710784125,0.35966660730210703,0.06905794143676758
000004.png,32.895659720338436,high_blur,20.030767467030678,0.6872576902681108,4.028732776641846,6.112429692018983,0.3634795735810602,0.08347177505493164
000005.png,25.157310068077532,high_blur,20.222174890588143,0.6865141220421119,4.0351667404174805,6.135271847693845,0.36728055892767403,0.059175729751586914
000006.png,17.950941595458985,high_blur,22.124343923241483,0.7243805358719275,4.0236496925354,6.195000758909146,0.373960467019886,0.07888412475585938
000007.png,46.210729152933716,high_blur,21.98301036710916,0.7494491988238394,4.834033250808716,6.215945561270599,0.3698341783786582,0.0706491470336914
000008.png,23.074927834574382,high_blur,23.324787551019735,0.7599520823393636,4.046278953552246,6.266796577631386,0.3741290419393392,0.07916688919067383
000009.png,22.79806085034476,high_blur,24.385063939591664,0.8050561083099497,4.103014230728149,6.3658821853342324,0.3846139036376975,0.07909536361694336
000010.png,29.423615007522947,high_blur,24.4056100277406,0.7989186974266437,4.10854172706604,6.416386139610819,0.3838507768304378,0.07833695411682129
000011.png,16.5885069349077,high_blur,21.528369138182306,0.7016384364746072,4.236560821533203,6.516459806498638,0.3995948345895785,0.08710479736328125
000012.png,16.629482410797074,high_blur,23.461976214354088,0.7650396773410105,4.195597887039185,6.5637705463869525,0.4005816663673512,0.08326029777526855
000013.png,31.707609489552766,high_blur,27.39191245897328,0.8754349569261771,4.191463947296143,6.659161809924841,0.40438550376643057,0.06969857215881348
000014.png,15.86675489260355,high_blur,24.42989992388451,0.7856167768787632,4.078993320465088,6.7555806605869755,0.41508150726667237,0.07328581809997559
000015.png,19.502030162329724,high_blur,24.37357034859529,0.7864474159899728,4.052875280380249,6.828335475197134,0.4170078336301267,0.07145333290100098
000016.png,78.30079861072957,high_blur,20.21064315016854,0.6957960803068832,4.087222099304199,6.848309004279126,0.4123511342012891,0.0731651782989502
000017.png,14.823143424722865,high_blur,21.62460703923195,0.6978694399290166,3.995333194732666,6.906860284239395,0.4244394393258757,0.07523131370544434
000018.png,42.79344492096958,high_blur,20.12024638560537,0.694665389355239,3.97983455657959,6.909045172759094,0.4156059787551335,0.07341313362121582
000019.png,29.293330076682714,high_blur,20.156709624875717,0.6883162567689924,4.024365663528442,6.929748244166067,0.4218223182791467,0.06993293762207031
000020.png,28.63771742587146,high_blur,21.198317969390605,0.723777108276897,4.209632635116577,6.944020905393367,0.4179412746238468,0.06800317764282227
000021.png,15.655260052697443,high_blur,19.862160038663795,0.6543422194497756,4.07397985458374,6.941920220939429,0.4326046952969673,0.07083988189697266
000022.png,22.74119248871863,high_blur,21.285304618282375,0.7307606825092545,4.19646954536438,6.900862262969248,0.4193363035544312,0.09379363059997559
000023.png,26.76012462267347,high_blur,22.221243442588094,0.7475812538189582,4.239133358001709,6.7061612074686945,0.4037559739280548,0.0793149471282959
000024.png,25.547978277795117,high_blur,22.633519497769964,0.7529179313917133,4.0483503341674805,6.709751641288063,0.407098636100696,0.07880234718322754
000025.png,13.863613280190371,high_blur,20.56310735159016,0.6881427996914734,4.1491241455078125,6.789379936134744,0.4305677190884873,0.07894301414489746
000026.png,13.937563998892278,high_blur,20.16662999408866,0.6684426962712414,4.077115058898926,6.634479889446957,0.4176737884985022,0.07889842987060547
000027.png,11.407134258598743,high_blur,21.83413217905079,0.713407873542305,4.014784574508667,6.58347737151281,0.4132713782459294,0.06719279289245605
000028.png,11.240421494090706,high_blur,22.514921842368913,0.7367597470433274,4.295924186706543,6.581051534351383,0.4172243612725096,0.07901716232299805
000029.png,16.06961371165617,high_blur,21.416805260377547,0.731595398242525,4.118158340454102,6.5697995465038925,0.41305362489462844,0.07930970191955566
000030.png,16.372391728149235,high_blur,23.64502877879662,0.781704080943355,4.030133247375488,6.568116416770132,0.4156693551755952,0.07869458198547363
000031.png,38.73957460846608,high_blur,22.065699846776397,0.7720298938124552,4.048445701599121,6.541843833621615,0.41098821186442164,0.08000445365905762
000032.png,15.695300572683776,high_blur,22.892543681209837,0.7638400168715241,4.030945301055908,6.5066178612851715,0.4118098441320359,0.07473945617675781
000033.png,21.834578478660113,high_blur,22.861674593583178,0.7741128509378907,4.033527851104736,6.411396207385868,0.4031266977308431,0.07468748092651367
000034.png,24.5013504309713,high_blur,19.56000810746421,0.6701976224185813,4.065627574920654,6.365325386069723,0.4063645088174192,0.07920527458190918
