Method,Average PSNR,Average SSIM,Average Runtime (sec)
Richardson-Lucy,19.859835623340246,0.5405288481797326,4.076969343209521
DeblurGAN-v2,8.282341025575588,0.37320452559946343,0.08130458446239475
