epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7995,0,112.274,0,0,0,0,0,0,79.9933,0,0.000407407,0.000407407,0.000407407
2,62.7605,0,89.7397,0,0,0,0,0,0,134.768,0,0.00079688,0.00079688,0.00079688
3,93.5637,0,77.2622,0,0,0,0,0,0,276.674,0,0.00115885,0.00115885,0.00115885
4,125.086,0,64.6633,0,0,0,0,0,0,3209,0,0.00112625,0.00112625,0.00112625
5,155.707,0,53.4904,0,0,0,0,0,0,0,0,0.001085,0.001085,0.001085
6,187.105,0,43.1872,0,0,0,0,0,0,0,0,0.00104375,0.00104375,0.00104375
7,217.723,0,34.0318,0,0,0,0,0,0,0,0,0.0010025,0.0010025,0.0010025
8,248.46,0,26.3602,0,0,0,0,0,0,0,0,0.00096125,0.00096125,0.00096125
9,279.479,0,20.205,0,0,0,0,0,0,0,0,0.00092,0.00092,0.00092
10,309.945,0,15.3309,0,0,0,0,0,0,0,0,0.00087875,0.00087875,0.00087875
11,340.046,0,11.6073,0,0,0,0,0,0,0,0,0.0008375,0.0008375,0.0008375
12,370.913,0,8.83484,0,0,0,0,0,0,0,0,0.00079625,0.00079625,0.00079625
13,401.783,0,6.76226,0,0,0,0,0,0,0,0,0.000755,0.000755,0.000755
14,433.52,0,5.2228,0,0,0,0,0,0,0,0,0.00071375,0.00071375,0.00071375
15,464.773,0,4.08512,0,0,0,0,0,0,0,0,0.0006725,0.0006725,0.0006725
16,494.932,0,3.19321,0,0,0,0,0,0,0,0,0.00063125,0.00063125,0.00063125
17,525.457,0,2.51065,0,0,0,0,0,0,0.00084,0,0.00059,0.00059,0.00059
18,555.665,0,1.99247,0,0,0,0,0,0,0,0,0.00054875,0.00054875,0.00054875
19,585.666,0,1.57712,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
20,615.667,0,1.32536,0,0,0,0,0,0,0.00405,0,0.00046625,0.00046625,0.00046625
21,644.808,0,1.11247,0,0,0,0,0,0,0,0,0.000425,0.000425,0.000425
22,674.073,0,0.87575,0,0,0,0,0,0,0.66895,0,0.00038375,0.00038375,0.00038375
23,703.994,0,0.76028,0,0,0,0,0,0,1.75112,0,0.0003425,0.0003425,0.0003425
24,733.458,0,0.68505,0,0,0,0,0,0,0.07638,0,0.00030125,0.00030125,0.00030125
25,762.493,0,0.62631,0,0,0,0,0,0,0,0,0.00026,0.00026,0.00026
26,795.87,0,0.58322,0,0,0,0,0,0,0,0,0.00021875,0.00021875,0.00021875
27,827.857,0,0.55127,0,0,0,0,0,0,63.4015,0,0.0001775,0.0001775,0.0001775
28,858.261,0,0.52574,0,0,0,0,0,0,0.19029,0,0.00013625,0.00013625,0.00013625
29,888.119,0,0.50727,0,0,0,0,0,0,0,0,9.5e-05,9.5e-05,9.5e-05
30,919.077,0,0.49584,0,0,0,0,0,0,0,0,5.375e-05,5.375e-05,5.375e-05
